current prev next pos lang
movies type anni G_N en 
anni movies hit G_N univ 
hit anni ani G_V en 
ani hit anaru DT te 
anaru ani anamata G_N univ 
anamata anaru . G_N te 
. anamata null G_X univ 

Oka null debut G_N te 
debut Oka director G_N univ 
director debut ki G_N univ 
ki director chance G_N univ 
chance ki ichi G_N univ 
ichi chance nijanga G_X univ 
nijanga ichi super G_X univ 
super nijanga hit G_R en 
hit super andukovadam G_V en 
andukovadam hit ante DT te 
ante andukovadam maatalu G_N te 
maatalu ante kadu G_N te 
kadu maatalu but G_N te 
but kadu raviteja CC univ 
raviteja but sir G_N univ 
sir raviteja meeru G_N en 
meeru sir danni G_X te 
danni meeru nirupincharu G_N te 
nirupincharu danni sir G_N te 
sir nirupincharu hatsoff G_N en 
hatsoff sir movie G_N univ 
movie hatsoff is G_N en 
is movie superb G_V univ 
superb is congratulations G_J en 
congratulations superb sir G_N en 
sir congratulations best G_N en 
best sir wishes G_J en 
wishes best from G_N univ 
from wishes VICTORY PSP en 
VICTORY from VENKATESH G_N univ 
VENKATESH VICTORY DIE G_X ne 
DIE VENKATESH HARD G_V univ 
HARD DIE FANS G_J univ 
FANS HARD null G_N en 

Very null Different G_R en 
Different Very and G_J univ 
and Different Excellent CC en 
Excellent and Concept G_J te 
Concept Excellent .. G_N en 
.. Concept But G_X univ 
But .. Should CC univ 
Should But have G_V en 
have Should been G_V en 
been have Editted G_V univ 
Editted been in G_V te 
in Editted a PSP univ 
a in better DT univ 
better a way G_J en 
way better .. G_N univ 
.. way First G_X univ 
First .. Half G_J univ 
Half First is G_N univ 
is Half good G_V univ 
good is , G_J univ 
, good While G_X univ 
While , the PSP univ 
the While Second DT en 
Second the half G_J univ 
half Second goes G_N univ 
goes half on G_V univ 
on goes a PSP univ 
a on predictable DT univ 
predictable a note G_J te 
note predictable , G_N univ 
, note Boring G_X univ 
Boring , at G_J en 
at Boring times PSP univ 
times at .. G_N en 
.. times Cinema G_X univ 
Cinema .. ayye G_N en 
ayye Cinema sarkii G_PRT te 
sarkii ayye ,, G_N te 
,, sarkii edhoo G_X univ 
edhoo ,, miss G_PRP univ 
miss edhoo ayindi G_V univ 
ayindi miss ane G_N te 
ane ayindi feel G_N te 
feel ane vachstadi G_V en 
vachstadi feel . G_N te 
. vachstadi null G_X univ 

Music null OK G_N univ 
OK Music . G_PRT univ 
. OK 2 G_X univ 
2 . songs $ univ 
songs 2 bagunnay G_N en 
bagunnay songs anthe G_N te 
anthe bagunnay . G_N te 
. anthe BGM G_X univ 
BGM . ki G_X univ 
ki BGM matram G_X univ 
matram ki Sai G_X te 
Sai matram kartheek G_N univ 
kartheek Sai needs G_N en 
needs kartheek a G_V en 
a needs special DT univ 
special a mention G_J univ 
mention special , G_N en 
, mention awesome G_X univ 
awesome , ichadu G_J univ 
ichadu awesome .. G_N te 
.. ichadu First G_X univ 
First .. Half G_J univ 
Half First Entertaining G_N univ 
Entertaining Half and G_J en 
and Entertaining good CC en 
good and . G_J univ 
. good Second G_X univ 
Second . Half G_J univ 
Half Second Manchi G_N univ 
Manchi Half Mass G_N te 
Mass Manchi ga G_N univ 
ga Mass pace G_N univ 
pace ga tho G_N univ 
tho pace velpoddi PSP te 
velpoddi tho .. G_N univ 
.. velpoddi Bala G_X univ 
Bala .. Krishna G_N te 
Krishna Bala gari G_N univ 
gari Krishna References G_N te 
References gari " G_N en 
" References Theatres G_X univ 
Theatres " shake G_N en 
shake Theatres avatam G_V univ 
avatam shake Pakka G_N te 
Pakka avatam SamarasimhaReddy G_N te 
SamarasimhaReddy Pakka shot G_N te 
shot SamarasimhaReddy ki G_N univ 
ki shot " G_X univ 
" ki null G_X univ 

Ajay null Vishnu G_N univ 
Vishnu Ajay Chandrasekharan G_N univ 
Chandrasekharan Vishnu Anandu G_N ne 
Anandu Chandrasekharan Sajeev G_N te 
Sajeev Anandu Hemanth G_N univ 
Hemanth Sajeev Thakadiyel G_N univ 
Thakadiyel Hemanth VinuGopi G_N te 
VinuGopi Thakadiyel Thekkenakom G_N univ 
Thekkenakom VinuGopi Aaron G_N en 
Aaron Thekkenakom Varghese G_N univ 
Varghese Aaron Nithyaa G_N ne 
Nithyaa Varghese Arunkumar G_N univ 
Arunkumar Nithyaa Nair G_N ne 
Nair Arunkumar PrithvirajFans G_N univ 
PrithvirajFans Nair Muvattupuzha G_N en 
Muvattupuzha PrithvirajFans All G_N te 
All Muvattupuzha Kerala DT en 
Kerala All Prithviraj G_N ne 
Prithviraj Kerala Fans G_N univ 
Fans Prithviraj & G_N en 
& Fans Cultural CC univ 
Cultural & Welfare G_J te 
Welfare Cultural Association G_N en 
Association Welfare All G_N en 
All Association Kerala DT en 
Kerala All Nivin G_N ne 
Nivin Kerala Pauly G_N univ 
Pauly Nivin Fans G_N univ 
Fans Pauly & G_N en 
& Fans Welfare CC univ 
Welfare & Association G_N en 
Association Welfare All G_N en 
All Association Kerala DT en 
Kerala All Unni G_N ne 
Unni Kerala Mukundan G_N univ 
Mukundan Unni Fans G_N te 
Fans Mukundan & G_N en 
& Fans Welfare CC univ 
Welfare & Association G_N en 
Association Welfare Mohanlal G_N en 
Mohanlal Association Fans G_N univ 
Fans Mohanlal ClubAll G_N en 
ClubAll Fans Kerala G_X te 
Kerala ClubAll Mohanlal G_N ne 
Mohanlal Kerala Fans-[Official G_N univ 
Fans-[Official Mohanlal ] G_N en 
] Fans-[Official Adel G_X univ 
Adel ] Mohammed G_N te 
Mohammed Adel Saleem G_N te 
Saleem Mohammed Mohanlal G_N te 
Mohanlal Saleem heartZ G_N univ 
heartZ Mohanlal Mohanlal G_N acro 
Mohanlal heartZ fans G_N univ 
fans Mohanlal perunna G_N en 
perunna fans Mammootty G_V te 
Mammootty perunna Media G_N univ 
Media Mammootty Club G_N en 
Club Media Mammootty G_N univ 
Mammootty Club Live G_N univ 
Live Mammootty Dulqur G_V en 
Dulqur Live salman G_N univ 
salman Dulqur boys G_N univ 
boys salman Asif G_N univ 
Asif boys Ali G_PRT univ 
Ali Asif Fanz G_N univ 
Fanz Ali Perumbavoor G_N en 
Perumbavoor Fanz Suresh G_X univ 
Suresh Perumbavoor Gopi G_N univ 
Gopi Suresh Fanz G_N univ 
Fanz Gopi Mundakayam G_N en 
Mundakayam Fanz Dileep G_N te 
Dileep Mundakayam FansPathamuttom G_N univ 
FansPathamuttom Dileep .. G_X en 
.. FansPathamuttom itu G_X univ 
itu .. poottikkanam G_X univ 
poottikkanam itu .. G_X te 
.. poottikkanam avanmaaru G_X univ 
avanmaaru .. nammukkittu G_N te 
nammukkittu avanmaaru undakkan G_N univ 
undakkan nammukkittu tudangiyittu G_V te 
tudangiyittu undakkan kurach G_PRP univ 
kurach tudangiyittu aayi G_V univ 
aayi kurach .. G_X univ 
.. aayi kalla G_X univ 
kalla .. tendikal G_N te 
tendikal kalla ... G_N te 
... tendikal <<<>>> G_X univ 
<<<>>> ... null ~ univ 

Hit null kaavalantey G_V en 
kaavalantey Hit yeppudo G_N te 
yeppudo kaavalantey yengili G_N te 
yengili yeppudo remake G_N univ 
remake yengili movie G_N en 
movie remake theesi G_N en 
theesi movie hit G_N en 
hit theesi kotteyvadu G_V en 
kotteyvadu hit kaani G_N te 
kaani kotteyvadu kaavalsindhi G_N te 
kaavalsindhi kaani straight G_N te 
straight kaavalsindhi hit G_R univ 
hit straight temper G_V en 
temper hit records G_N univ 
records temper , G_N univ 
, records 100 G_X univ 
100 , cr $ univ 
cr 100 collect G_N univ 
collect cr cheysthundhi G_V en 
cheysthundhi collect ani G_X univ 
ani cheysthundhi sollu G_X te 
sollu ani cheyppam G_X te 
cheyppam sollu kachithanga G_X univ 
kachithanga cheyppam N.T.R G_X univ 
N.T.R kachithanga ku G_X univ 
ku N.T.R hit G_X univ 
hit ku vasthey G_V en 
vasthey hit ilagey G_N te 
ilagey vasthey vundali G_N te 
vundali ilagey anipisthundi G_N te 
anipisthundi vundali null G_N te 

Entha null copy G_N te 
copy Entha kotina G_N univ 
kotina copy normal G_V te 
normal kotina cinema G_J en 
cinema normal chuse G_N en 
chuse cinema valu G_N univ 
valu chuse a G_V univ 
a valu language DT univ 
language a lo G_N univ 
lo language cinema PSP univ 
cinema lo chudaru G_N en 
chudaru cinema ... G_X univ 
... chudaru They G_X univ 
They ... have G_PRP en 
have They given G_V en 
given have this G_V en 
this given to G_PRP en 
to this us PSP univ 
us to .... G_PRP univ 
.... us Maha G_X univ 
Maha .... aithe G_N univ 
aithe Maha ah G_N te 
ah aithe original G_PRT univ 
original ah movie G_J univ 
movie original ni G_N en 
ni movie edo G_X univ 
edo ni language G_X univ 
language edo lo G_N univ 
lo language oka PSP univ 
oka lo one G_PRT te 
one oka lakh $ univ 
lakh one members G_N univ 
members lakh chudachu G_N univ 
chudachu members ... G_X univ 
... chudachu Ade G_X univ 
Ade ... Mana G_N te 
Mana Ade telugu G_N te 
telugu Mana lo G_N univ 
lo telugu tisi G_N univ 
tisi lo isthe G_N univ 
isthe tisi ... G_X te 
... isthe chudantam G_X univ 
chudantam ... manesi G_PRT te 
manesi chudantam ... G_N te 
... manesi Asalu G_X univ 
Asalu ... enti G_PRT te 
enti Asalu idi G_X te 
idi enti null G_X univ 

kurnool null dist G_N univ 
dist kurnool nandyal G_N univ 
nandyal dist lo G_N en 
lo nandyal nearly G_N univ 
nearly lo 9theatres G_R univ 
9theatres nearly unnai G_V en 
unnai 9theatres Andulo G_N te 
Andulo unnai 5 G_N univ 
5 Andulo theatres $ univ 
theatres 5 vesukuntadu G_N en 
vesukuntadu theatres benefit G_N te 
benefit vesukuntadu show G_N univ 
show benefit pawan G_N en 
pawan show anna G_N ne 
anna pawan movie G_N te 
movie anna aitey G_N en 
aitey movie anni PSP te 
anni aitey theatres G_J univ 
theatres anni oka G_N en 
oka theatres week G_PRT te 
week oka mogutuntayi G_N en 
mogutuntayi week tsunami G_N univ 
tsunami mogutuntayi ye G_N univ 
ye tsunami null G_PRP univ 

and null ppl CC en 
ppl and still G_N univ 
still ppl thinks G_R univ 
thinks still bahubaali G_V univ 
bahubaali thinks will G_N te 
will bahubaali grab G_V univ 
grab will all G_V te 
all grab awards DT en 
awards all of G_N univ 
of awards 2015 PSP univ 
2015 of ppl $ univ 
ppl 2015 trolled G_N univ 
trolled ppl sampoornesh G_V en 
sampoornesh trolled babu G_X ne 
babu sampoornesh / G_X te 
/ babu balayya G_X univ 
balayya / wen G_PRT te 
wen balayya did G_R univ 
did wen little G_V univ 
little did bit G_J en 
bit little of G_N univ 
of bit over PSP univ 
over of reaction PSP en 
reaction over , G_N en 
, reaction but G_X univ 
but , if CC univ 
if but prabhas PSP univ 
prabhas if does G_N te 
does prabhas d G_V univ 
d does same DT univ 
same d it G_J en 
it same is G_PRP univ 
is it awesum G_V univ 
awesum is #hatsoff G_J univ 
#hatsoff awesum " # univ 
" #hatsoff null G_X univ 

nenu null mng G_X te 
mng nenu show G_X univ 
show mng chusocha G_N en 
chusocha show 1st G_N te 
1st chusocha half G_J univ 
half 1st gud G_N univ 
gud half 2nd G_J univ 
2nd gud half $ univ 
half 2nd down G_N univ 
down half ayindhi PSP univ 
ayindhi down okasari G_N te 
okasari ayindhi chudochu G_N te 
chudochu okasari not G_N te 
not chudochu flop G_R univ 
flop not not G_N univ 
not flop hit G_R univ 
hit not its G_V en 
its hit avrg G_N univ 
avrg its film G_J univ 
film avrg story G_N en 
story film ledu G_N en 
ledu story but G_N te 
but ledu entertain CC univ 
entertain but chesaru G_V univ 
chesaru entertain comedians G_J te 
comedians chesaru null G_N en 

Senior null ntr G_J univ 
ntr Senior , G_N univ 
, ntr anr G_X univ 
anr , , G_X univ 
, anr krishna G_X univ 
krishna , garu G_N univ 
garu krishna kaani G_N univ 
kaani garu ippudu G_N te 
ippudu kaani heros G_N te 
heros ippudu ithe G_N en 
ithe heros mana G_N te 
mana ithe vallu G_N te 
vallu mana super G_X te 
super vallu acting G_R en 
acting super antaraa G_V en 
antaraa acting or G_N te 
or antaraa over CC univ 
over or acting PSP en 
acting over antaara G_V en 
antaara acting null G_N te 

Kaani null please G_N te 
please Kaani no G_V en 
no please boothuls DT univ 
boothuls no ..... G_N te 
..... boothuls Mohamatam G_X univ 
Mohamatam ..... lekunda G_N te 
lekunda Mohamatam ban G_N te 
ban lekunda chesetham G_V univ 
chesetham ban ..... G_X te 
..... chesetham So G_X univ 
So ..... come G_R univ 
come So on G_V en 
on come .... PSP univ 
.... on Ikkada G_X univ 
Ikkada .... adagandi G_N te 
adagandi Ikkada ... G_X te 
... adagandi any G_X univ 
any ... questions DT en 
questions any you G_N en 
you questions want G_PRP en 
want you to G_V univ 
to want ask PSP univ 
ask to ..... G_V univ 
..... ask " G_X univ 
" ..... null G_X univ 

Mean null while G_V univ 
while Mean Mega PSP univ 
Mega while fans G_J en 
fans Mega suresh G_N en 
suresh fans babu G_N univ 
babu suresh office G_N te 
office babu mundu G_N univ 
mundu office veli G_X te 
veli mundu ....... G_X univ 
....... veli " G_X univ 
" ....... Anna G_X univ 
Anna " cinema G_N te 
cinema Anna date G_N en 
date cinema release G_N univ 
release date cheyandi G_N en 
cheyandi release sirr G_N te 
sirr cheyandi .... G_N en 
.... sirr Thala G_X univ 
Thala .... ethukuni G_N te 
ethukuni Thala tiragalekapothunamm G_N te 
tiragalekapothunamm ethukuni " G_N te 
" tiragalekapothunamm :p G_X univ 
:p " Asalu E univ 
Asalu :p leak G_N te 
leak Asalu ea G_N en 
ea leak kaledu G_X te 
kaledu ea . G_N te 
. kaledu Megays G_X univ 
Megays . publicity G_N ne 
publicity Megays stunt G_N en 
stunt publicity https:// G_N en 
https:// stunt twitter.com/vineeth170995/ U univ 
twitter.com/vineeth170995/ https:// status/707560457867911169 U univ 
status/707560457867911169 twitter.com/vineeth170995/ null G_N en 

M3 null ' G_X univ 
' M3 Btech G_X univ 
Btech ' 4 G_N en 
4 Btech years $ univ 
years 4 lo G_N en 
lo years Nannu PSP te 
Nannu lo eppudu G_PRT te 
eppudu Nannu Ventade G_PRP te 
Ventade eppudu Subject G_N te 
Subject Ventade .. G_N en 
.. Subject Hope G_X univ 
Hope .. It G_V en 
It Hope Clears G_PRP en 
Clears It Tommorow G_V en 
Tommorow Clears #JNTU G_N univ 
#JNTU Tommorow null # univ 

@abhilash99 null vammooooo @ univ 
vammooooo @abhilash99 e G_PRT univ 
e vammooooo range G_X univ 
range e asalu G_N en 
asalu range expect G_N te 
expect asalu cheyale G_V en 
cheyale expect null G_N te 

@anil_prongs null naaku @ univ 
naaku @anil_prongs same G_X te 
same naaku doubt G_J en 
doubt same bro G_N en 
bro doubt ... G_N en 
... bro apparently G_X univ 
apparently ... unnarata G_R univ 
unnarata apparently . G_J te 
. unnarata @Tenali_RK G_X univ 
@Tenali_RK . @_vasireddy @ univ 
@_vasireddy @Tenali_RK @Kreasy @ univ 
@Kreasy @_vasireddy null @ univ 

@pavan1230 null Sudashan @ univ 
Sudashan @pavan1230 full G_N univ 
full Sudashan ayindani G_J en 
ayindani full and G_N te 
and ayindani Kukatpally CC en 
Kukatpally and lo G_N univ 
lo Kukatpally 2nd G_N univ 
2nd lo shows $ univ 
shows 2nd asalu G_V en 
asalu shows full DT te 
full asalu avvavu G_J en 
avvavu full ani G_N te 
ani avvavu 10K DT te 
10K ani bet $ univ 
bet 10K veasaru G_V en 
veasaru bet mng G_N univ 
mng veasaru oka G_N univ 
oka mng peddayana G_PRT te 
peddayana oka null G_PRT te 

Ohh null yeaahhhhh G_PRT univ 
yeaahhhhh Ohh lapit G_PRT univ 
lapit yeaahhhhh naaku G_X univ 
naaku lapit uwi G_X te 
uwi naaku ... G_X univ 
... uwi CardoCarmen G_X univ 
CardoCarmen ... SafeAndSound G_N univ 
SafeAndSound CardoCarmen null G_N en 

@nenuravi null dsp @ univ 
dsp @nenuravi Kalyan G_N ne 
Kalyan dsp ki G_N ne 
ki Kalyan eppudu G_N univ 
eppudu ki the G_X te 
the eppudu best DT en 
best the ye G_J en 
ye best istadu G_PRP te 
istadu ye title G_V te 
title istadu song G_N en 
song title as G_N en 
as song it PSP univ 
it as is G_PRP univ 
is it anta G_V univ 
anta is ga G_N te 
ga anta ravanna G_N te 
ravanna ga null G_N te 

@akhil10193 null yeah @ univ 
yeah @akhil10193 .. G_PRT univ 
.. yeah horrible G_X univ 
horrible .. asalu G_J en 
asalu horrible .. G_N te 
.. asalu null G_X univ 

" null @pratyusha G_X univ 
@pratyusha " Velacherry @ univ 
Velacherry @pratyusha lo G_N te 
lo Velacherry telidu G_N te 
telidu lo .. G_N te 
.. telidu Local G_X univ 
Local .. train G_J en 
train Local ekki G_N en 
ekki train mylapore G_X univ 
mylapore ekki tirumalai G_X en 
tirumalai mylapore station G_N te 
station tirumalai digangane G_N en 
digangane station left G_N univ 
left digangane lo G_V univ 
lo left kabalishwara(Shiva PSP univ 
kabalishwara(Shiva lo "" G_N univ 
"" kabalishwara(Shiva ) G_X univ 
) "" temple G_X univ 
temple ) untudi G_N en 
untudi temple . G_N te 
. untudi """ G_X univ 
""" . null G_X univ 

" null @Aswin_xyz G_X univ 
@Aswin_xyz " chi @ univ 
chi @Aswin_xyz ... G_X univ 
... chi daridram ~ univ 
daridram ... ga G_PRT te 
ga daridram undi G_N te 
undi ga .. G_N te 
.. undi worst G_X univ 
worst .. short G_J en 
short worst film G_J en 
film short ever G_N en 
ever film in G_R en 
in ever the PSP univ 
the in history DT en 
history the .. G_N en 
.. history aadu G_X univ 
aadu .. OA G_X te 
OA aadu , G_N univ 
, OA diniki G_X univ 
diniki , asalu G_N univ 
asalu diniki action G_N te 
action asalu raadu G_N en 
raadu action .. G_N te 
.. raadu saripoindi G_X univ 
saripoindi .. poooo G_N te 
poooo saripoindi " G_N te 
" poooo null G_X univ 

Neekosam null - G_N te 
- Neekosam #Nenunnanu G_X univ 
#Nenunnanu - . # te 
. #Nenunnanu Super G_X univ 
Super . song G_N en 
song Super asalu G_N en 
asalu song ... G_X te 
... asalu NAG G_X univ 
NAG ... . G_N ne 
. NAG null G_X univ 

@UrsAnurag null Evaru @ univ 
Evaru @UrsAnurag telidu G_PRT te 
telidu Evaru Boss G_N te 
Boss telidu sorry G_N univ 
sorry Boss null G_J en 

Perera null thappa G_N te 
thappa Perera evadu G_N te 
evadu thappa telidu G_N te 
telidu evadu em G_V te 
em telidu team G_PRP te 
team em ra G_N en 
ra team idi G_X univ 
idi ra direct G_X univ 
direct idi u19 G_J en 
u19 direct or G_N univ 
or u19 team CC en 
team or b G_N en 
b team ni G_V te 
ni b dimppara G_N te 
dimppara ni lankians G_N te 
lankians dimppara null G_N en 

Charmee null full G_N ne 
full Charmee foodie G_J en 
foodie full too G_N en 
too foodie much G_R en 
much too asalu G_J en 
asalu much only G_N te 
only asalu food G_J en 
food only pics G_N en 
pics food shhh G_N en 
shhh pics null G_PRT en 

eedebba null ... G_X te 
... eedebba eediki G_X univ 
eediki ... context G_J te 
context eediki telidu G_N en 
telidu context . G_N te 
. telidu matladutunnadu G_X univ 
matladutunnadu . https:// G_X te 
https:// matladutunnadu twitter.com/Sychlops/statu U univ 
twitter.com/Sychlops/statu https:// s/694426681247830016 U univ 
s/694426681247830016 twitter.com/Sychlops/statu null G_X univ 

@troll_babai null first @ univ 
first @troll_babai time G_J the 
time first ga G_N en 
ga time petindi G_X te 
petindi ga so G_N te 
so petindi telidu PSP en 
telidu so :D G_PRP te 
:D telidu null E univ 

@Itsme_Thej null @meghanavirat @ univ 
@meghanavirat @Itsme_Thej ohh @ univ 
ohh @meghanavirat super G_PRT en 
super ohh ayithe G_R en 
ayithe super invitation G_J te 
invitation ayithe kosam G_N en 
kosam invitation enduku G_N te 
enduku kosam direct G_V te 
direct enduku marg G_J en 
marg direct lo G_N en 
lo marg kaliseddam PSP te 
kaliseddam lo eppudu G_N te 
eppudu kaliseddam Maggie G_N te 
Maggie eppudu ? G_N en 
? Maggie null G_X univ 

Gabbar null Singh G_N ne 
Singh Gabbar elevations G_N en 
elevations Singh kanna G_N en 
kanna elevations eeyana G_X te 
eeyana kanna iche G_X univ 
iche eeyana elevations G_J te 
elevations iche antene G_N en 
antene elevations pichi G_V te 
pichi antene naaku G_N univ 
naaku pichi . G_N te 
. naaku @An_Odd_ee G_X univ 
@An_Odd_ee . Sir @ univ 
Sir @An_Odd_ee null G_PRT en 

@item_boyy null @meghanavirat @ univ 
@meghanavirat @item_boyy jus @ univ 
jus @meghanavirat now G_R en 
now jus digged G_R en 
digged now our G_V en 
our digged old DT en 
old our fb G_J en 
fb old convos G_N en 
convos fb .. G_N en 
.. convos Asalu G_X unit 
Asalu .. how G_PRT te 
how Asalu you G_R en 
you how know G_PRP en 
know you all G_V en 
all know my DT en 
my all clg DT en 
clg my friends G_N en 
friends clg friends G_N en 
friends friends !?? G_N en 
!?? friends null G_X univ 

Just null two G_R en 
two Just before $ en 
before two open PSP en 
open before cheyalsindi G_V en 
cheyalsindi open @Samanthaprabhu2 G_N te 
@Samanthaprabhu2 cheyalsindi Sam @ univ 
Sam @Samanthaprabhu2 bcoz G_N ne 
bcoz Sam 18 PSP en 
18 bcoz Feb $ univ 
Feb 18 is G_N en 
is Feb my G_V en 
my is Birthday DT en 
Birthday my so G_N en 
so Birthday naaku PSP en 
naaku so pedda G_X te 
pedda naaku gift G_X te 
gift pedda null G_N en 

@rathispicy null naaku @ univ 
naaku @rathispicy ready G_PRT te 
ready naaku null G_J en 

Eppudu null deniki G_N te 
deniki Eppudu sir G_N te 
sir deniki #ThankyouSardaar G_N en 
#ThankyouSardaar sir ?? # univ 
?? #ThankyouSardaar null G_X univ 

" null #Sarrainodu G_X univ 
#Sarrainodu " New # te 
New #Sarrainodu Stills G_J en 
Stills New ey G_N en 
ey Stills time G_V te 
time ey lo G_N en 
lo time release G_V te 
release lo chestaru G_N en 
chestaru release cheppandi G_N te 
cheppandi chestaru , G_N te 
, cheppandi asalu G_X univ 
asalu , eeroju G_N te 
eeroju asalu night G_V univ 
night eeroju Vijayawada G_N univ 
Vijayawada night going G_N ne 
going Vijayawada . G_V en 
. going " G_X univ 
" . null G_X univ 

Youtube null records G_N en 
records Youtube matum G_N en 
matum records vechinu G_N te 
vechinu matum naaku G_N te 
naaku vechinu vazhichinu G_X te 
vazhichinu naaku irunga G_X te 
irunga vazhichinu :D G_X en 
:D irunga pic.twitter.com/5lZYe4caVW E univ 
pic.twitter.com/5lZYe4caVW :D null U univ 

Milzu null zvirbulji G_N en 
zvirbulji Milzu es G_N univ 
es zvirbulji naaku G_N univ 
naaku es null G_N te 

@wtfex null @krdatla @ univ 
@krdatla @wtfex BTech @ univ 
BTech @krdatla ( G_N univ 
( BTech CSE G_X univ 
CSE ( ) G_N univ 
) CSE fresher G_X univ 
fresher ) interview G_J acro 
interview fresher Q G_N univ 
Q interview . G_N univ 
. Q What G_X univ 
What . do G_PRP en 
do What u G_V en 
u do understand G_PRP en 
understand u by G_V en 
by understand 32/64 PSP en 
32/64 by bit $ univ 
bit 32/64 systems G_N en 
systems bit ? G_N en 
? systems A G_X univ 
A ? . G_N univ 
. A 1st G_X univ 
1st . semester G_J en 
semester 1st lo G_N en 
lo semester chadivanu PSP te 
chadivanu lo saar G_X te 
saar chadivanu . G_X en 
. saar Telidu G_X univ 
Telidu . ento G_N te 
ento Telidu . G_N te 
. ento null G_X univ 

@Ak_ null Asalu @ univ 
Asalu @Ak_ thank G_PRT te 
thank Asalu you G_V univ 
you thank !! G_PRP en 
!! you null G_X univ 

@iam_kiran null @alwayscharan4u @ univ 
@alwayscharan4u @iam_kiran @Teja_medico @ univ 
@Teja_medico @alwayscharan4u ah @ univ 
ah @Teja_medico land G_PRT te 
land ah poling G_N en 
poling land tym G_V en 
tym poling lo G_N en 
lo tym i PSP te 
i lo heard G_PRP en 
heard i 4m G_V en 
4m heard a PSP univ 
a 4m revemue DT univ 
revemue a offcr G_N en 
offcr revemue dat G_N en 
dat offcr lands DT en 
lands dat asalu G_N en 
asalu lands drct G_N te 
drct asalu ga G_V en 
ga drct ministrs G_N te 
ministrs ga names G_N univ 
names ministrs meda G_N en 
meda names regstrn G_X te 
regstrn meda null G_X en 

@wearehyderabad null @adivisesh @ univ 
@adivisesh @wearehyderabad @ravikanthperepu @ univ 
@ravikanthperepu @adivisesh DVD @ univ 
DVD @ravikanthperepu eppudu G_N univ 
eppudu DVD release G_N te 
release eppudu #AskTeamKshanam G_N en 
#AskTeamKshanam release null # univ 

Kiraaak null news G_N te 
news Kiraaak we G_N univ 
we news are G_PRP univ 
are we waiting G_V en 
waiting are #SardaarGabbarSingh G_V en 
#SardaarGabbarSingh waiting #MegaStar G_N univ 
#MegaStar #SardaarGabbarSingh @PawanKalyan G_N univ 
@PawanKalyan #MegaStar abaah @ univ 
abaah @PawanKalyan eppudu G_N univ 
eppudu abaah vastado G_N te 
vastado eppudu April G_N te 
April vastado pic.twitter.com/v3OMDlawxB G_N univ 
pic.twitter.com/v3OMDlawxB April null U univ 

@RC_Devotees null nuv @ univ 
nuv @RC_Devotees Eppudu G_PRT univ 
Eppudu nuv aa G_N te 
aa Eppudu Copy+ G_N univ 
Copy+ aa Paste G_N univ 
Paste Copy+ tweet G_V univ 
tweet Paste nduku G_V en 
nduku tweet vestavu G_N te 
vestavu nduku . G_N en 
. vestavu @sardaarofficial G_X univ 
@sardaarofficial . @ThisIsDSP @ univ 
@ThisIsDSP @sardaarofficial null @ univ 

@kostha_bidda null 2 @ univ 
2 @kostha_bidda day's $ univ 
day's 2 nuchi G_N en 
nuchi day's naaku G_N univ 
naaku nuchi reply G_N te 
reply naaku cheyyatem G_V en 
cheyyatem reply ledhu G_J univ 
ledhu cheyyatem pic.twitter.com/ePHlWIJqkJ G_N te 
pic.twitter.com/ePHlWIJqkJ ledhu null U univ 

@prashantbme null Lungi @ univ 
Lungi @prashantbme Episodes G_N univ 
Episodes Lungi Shoot G_N univ 
Shoot Episodes Chesaru G_V en 
Chesaru Shoot :) G_N te 
:) Chesaru but E univ 
but :) aa CC univ 
aa but poster DT univ 
poster aa anedi G_N en 
anedi poster telidu G_N te 
telidu anedi null G_N univ 

Naaku null rendu G_N te 
rendu Naaku istama G_N te 
istama rendu https:// G_N en 
https:// istama twitter.com/Keerthii_Angel U univ 
twitter.com/Keerthii_Angel https:// /status/705439039634202624 U univ 
/status/705439039634202624 twitter.com/Keerthii_Angel null G_N en 

Naaku null pass G_N te 
pass Naaku lu G_V univ 
lu pass kavali G_N univ 
kavali lu ... G_N te 
... kavali @sharrath_marar G_X univ 
@sharrath_marar ... Plz @ univ 
Plz @sharrath_marar give G_V univ 
give Plz passes G_V en 
passes give to G_V univ 
to passes fans PSP univ 
fans to ... G_N en 
... fans #SardaarGabbarSingh G_X univ 
#SardaarGabbarSingh ... null # univ 

@sunnyvar null @Vihu818 @ univ 
@Vihu818 @sunnyvar andariki @ univ 
andariki @Vihu818 koncham G_N te 
koncham andariki telidu G_N te 
telidu koncham bhayya G_N univ 
bhayya telidu anduke G_N te 
anduke bhayya now G_R te 
now anduke only G_R univ 
only now realising G_R en 
realising only . G_V en 
. realising Trs G_X univ 
Trs . never G_N univ 
never Trs had G_R en 
had never media G_V univ 
media had supprt G_N en 
supprt media before G_N univ 
before supprt anduke PSP en 
anduke before idi G_N te 
idi anduke ... G_X univ 
... idi null ~ univ 

Panda null Ku G_N univ 
Ku Panda Karu G_N univ 
Karu Ku naaku G_N univ 
naaku Karu doi G_N te 
doi naaku https:// G_X univ 
https:// doi twitter.com/itisprashanth/ U univ 
twitter.com/itisprashanth/ https:// status/704147350894161921 U univ 
status/704147350894161921 twitter.com/itisprashanth/ null G_N en 

Allam null pachadee G_N en 
